fundus,res
nxg109_fundus_end_left_fam_20260213.png,0.00185
nxg109_fundus_end_left_rm_20260227.png,0.00185
nxg109_fundus_end_left_run_20260306.png,0.00185
nxg109_fundus_end_right_fam_20260213.png,0.00185
nxg109_fundus_end_right_rm_20260227.png,0.00185
nxg109_fundus_end_right_run_20260306.png,0.00185
nxg110_fundus_baseline_left_fam_20260310.png,0.00185
nxg110_fundus_baseline_left_run_20260317.png,0.00185
nxg110_fundus_baseline_right_fam_20260310.png,0.00185
nxg110_fundus_baseline_right_run_20260317.png,0.00185
nxg110_fundus_c1_left_fam_20260310.png,0.00185
nxg110_fundus_c1_right_fam_20260310.png,0.00185
nxg110_fundus_end_left_fam_20260310.png,0.00185
nxg110_fundus_end_left_run_20260317.png,0.00185
nxg110_fundus_end_right_fam_20260310.png,0.00185
nxg110_fundus_end_right_run_20260317.png,0.00185
nxg112_fundus_baseline_left_fam_20260312.png,0.00185
nxg112_fundus_baseline_left_rm_20260319.png,0.00185
nxg112_fundus_baseline_left_run_20260326.png,0.00185
nxg112_fundus_baseline_right_fam_20260312.png,0.00185
nxg112_fundus_baseline_right_rm_20260319.png,0.00185
nxg112_fundus_baseline_right_run_20260326.png,0.00185
nxg112_fundus_c1_left_fam_20260312.png,0.00185
nxg112_fundus_c1_right_fam_20260312.png,0.00185
nxg112_fundus_cycle1_left_rm_20260319.png,0.00185
nxg112_fundus_cycle1_right_rm_20260319.png,0.00185
nxg112_fundus_cycle2_left_rm_20260319.png,0.00185
nxg112_fundus_cycle2_right_rm_20260319.png,0.00185
nxg112_fundus_end_left_fam_20260312.png,0.00185
nxg112_fundus_end_left_rm_20260319.png,0.00185
nxg112_fundus_end_left_run_20260326.png,0.00185
nxg112_fundus_end_right_fam_20260312.png,0.00185
nxg112_fundus_end_right_rm_20260319.png,0.00185
nxg112_fundus_end_right_run_20260326.png,0.00185
nxg115_fundus_baseline_left_fam_20260331.png,0.00185
nxg115_fundus_baseline_right_fam_20260331.png,0.00185
nxg115_fundus_c1_left_fam_20260331.png,0.00185
nxg115_fundus_c1_right_fam_20260331.png,0.00185
nxg115_fundus_end_left_fam_20260331.png,0.00185
nxg115_fundus_end_right_fam_20260331.png,0.00185
